"REF_DATE","GEO","DGUID","Area of residence","Type of expenditures","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2018-01","Canada","2016A000011124","France","Other types of expenditures","Dollars","81","thousands","3","v1139470088","1.6.7","2910","C","","","0"
"2018-01","Canada","2016A000011124","Mexico","Total expenditures","Dollars","81","thousands","3","v1139468163","1.7.1","111620","B","","","0"
"2018-01","Canada","2016A000011124","Mexico","Accommodation","Dollars","81","thousands","3","v1139468488","1.7.2","39915","B","","","0"
"2018-01","Canada","2016A000011124","Mexico","Clothes and gifts","Dollars","81","thousands","3","v1139468813","1.7.3","17216","B","","","0"
"2018-01","Canada","2016A000011124","Mexico","Food and beverage","Dollars","81","thousands","3","v1139469138","1.7.4","26320","B","","","0"
"2018-01","Canada","2016A000011124","Mexico","Recreation and entertainment","Dollars","81","thousands","3","v1139469463","1.7.5","14000","C","","","0"
"2018-01","Canada","2016A000011124","Mexico","Transportation","Dollars","81","thousands","3","v1139469788","1.7.6","11593","B","","","0"
"2018-01","Canada","2016A000011124","Mexico","Other types of expenditures","Dollars","81","thousands","3","v1139470113","1.7.7","2576","B","","","0"
"2018-01","Canada","2016A000011124","India","Total expenditures","Dollars","81","thousands","3","v1139468188","1.8.1","41211","B","","","0"
"2018-01","Canada","2016A000011124","India","Accommodation","Dollars","81","thousands","3","v1139468513","1.8.2","15490","B","","","0"
"2018-01","Canada","2016A000011124","India","Clothes and gifts","Dollars","81","thousands","3","v1139468838","1.8.3","5248","B","","","0"
"2018-01","Canada","2016A000011124","India","Food and beverage","Dollars","81","thousands","3","v1139469163","1.8.4","10495","B","","","0"
"2018-01","Canada","2016A000011124","India","Recreation and entertainment","Dollars","81","thousands","3","v1139469488","1.8.5","2940","B","","","0"
"2018-01","Canada","2016A000011124","India","Transportation","Dollars","81","thousands","3","v1139469813","1.8.6","5240","B","","","0"
"2018-01","Canada","2016A000011124","India","Other types of expenditures","Dollars","81","thousands","3","v1139470138","1.8.7","1798","B","","","0"
"2018-01","Canada","2016A000011124","Germany","Total expenditures","Dollars","81","thousands","3","v1139468213","1.9.1","73970","B","","","0"
"2018-01","Canada","2016A000011124","Germany","Accommodation","Dollars","81","thousands","3","v1139468538","1.9.2","30987","B","","","0"
"2018-01","Canada","2016A000011124","Germany","Clothes and gifts","Dollars","81","thousands","3","v1139468863","1.9.3","7975","B","","","0"
"2018-01","Canada","2016A000011124","Germany","Food and beverage","Dollars","81","thousands","3","v1139469188","1.9.4","14982","B","","","0"
"2018-01","Canada","2016A000011124","Germany","Recreation and entertainment","Dollars","81","thousands","3","v1139469513","1.9.5","9779","C","","","0"
"2018-01","Canada","2016A000011124","Germany","Transportation","Dollars","81","thousands","3","v1139469838","1.9.6","8238","B","","","0"
"2018-01","Canada","2016A000011124","Germany","Other types of expenditures","Dollars","81","thousands","3","v1139470163","1.9.7","2009","B","","","0"
"2018-01","Canada","2016A000011124","Australia","Total expenditures","Dollars","81","thousands","3","v1139468238","1.10.1","126006","B","","","0"
"2018-01","Canada","2016A000011124","Australia","Accommodation","Dollars","81","thousands","3","v1139468563","1.10.2","47550","B","","","0"
"2018-01","Canada","2016A000011124","Australia","Clothes and gifts","Dollars","81","thousands","3","v1139468888","1.10.3","11356","C","","","0"
"2018-01","Canada","2016A000011124","Australia","Food and beverage","Dollars","81","thousands","3","v1139469213","1.10.4","25321","C","","","0"
"2018-01","Canada","2016A000011124","Australia","Recreation and entertainment","Dollars","81","thousands","3","v1139469538","1.10.5","27520","B","","","0"
"2018-01","Canada","2016A000011124","Australia","Transportation","Dollars","81","thousands","3","v1139469863","1.10.6","11061","B","","","0"
"2018-01","Canada","2016A000011124","Australia","Other types of expenditures","Dollars","81","thousands","3","v1139470188","1.10.7","3199","C","","","0"
